imovel_Id;tipoImovel;valorImovel;areaRealPrivativa;latitude;longitude;quartos;banho;suites;vagaGaragem;valorCondominio;valorIptu;Cidade;Regiao;Bairro;Endereco
2576940;Apartamento 1 quarto;179000;41;-19,9219328;-43,9431768;1;1;0;0;500;102;belo-horizonte;centro-sul;Centro;Rua dos Goitacazes, 365
346562;Apartamento 2 quartos;189000;45;-19,8582916;-43,9199233;2;1;0;1;180;50;belo-horizonte;nordeste;S�o Gabriel;Rua Ana Pereira Menezes, 207
3261749;Apartamento 3 quartos;193500;70;0;0;3;2;0;1;225;70;belo-horizonte;leste;Cidade Nova;Rua Indian�polis, 717
2060802;Sala;240000;40;-19,9457991;-43,9307892;0;1;0;0;100;117;belo-horizonte;centro-sul;Cruzeiro;Rua Pium-i, 354
3238778;Apartamento 2 quartos;255000;58;-19,833215;-43,936343;2;2;1;2;150;66,95;belo-horizonte;norte;Floramar;Rua Cirandinha, 70
3251533;Apartamento 3 quartos;255000;65;-19,9698476;-43,968923;3;2;1;1;290;89,9;belo-horizonte;oeste;Buritis;Rua Ernani Agricola, 684
3234162;Apartamento 2 quartos;290000;88;-19,92480658;-43,94696013;2;2;0;0;760;85;belo-horizonte;centro-sul;Centro;Rua dos Timbiras, 2500
3262235;Apartamento 3 quartos;323000;97;-19,9623529;-43,9653881;3;2;1;2;430;130;belo-horizonte;oeste;Buritis;Rua Paulo Piedade Campos, 580
3253078;Apartamento 3 quartos;359000;74;-19,9644817;-43,9735938;3;2;1;2;400;105;belo-horizonte;oeste;Estrela Dalva;Rua Frutuoso Viana, 198
2058302;Casa;690000;140;-19,90737;-43,9697289;3;1;0;3;0;197,48;belo-horizonte;noroeste;Cai�aras;Rua Icara�, 564
1584184;Apartamento 2 quartos;115000;50;-19,9295286;-44,0176431;2;1;0;1;45;0;belo-horizonte;noroeste;Calif�rnia;Rua Jos� Cl�udio Sanches, 444
2448941;Apartamento 2 quartos;154000;43;-19,859837;-43,9212261;2;1;0;1;200;27,36;belo-horizonte;nordeste;S�o Gabriel;Rua Ana Pereira Menezes, 207
3242435;Apartamento 2 quartos;170000;55;-19,8082124;-43,9667477;2;1;0;1;230;66;belo-horizonte;pampulha;Cen�culo;Rua Geralda Rodrigues da Costa, 55
1673868;Casa geminada;215000;60;-19,957169;-43,9737099;2;2;0;1;0;55;belo-horizonte;oeste;Hava�;Rua Joaquim Monteiro, 484
2582857;Apartamento 2 quartos;215000;54;-19,889427;-43,954592;2;1;0;1;160;0;belo-horizonte;noroeste;Aparecida;Rua Apor�, 877
1943940;Apartamento 2 quartos;220000;60;-19,8809293;-43,9326473;2;1;0;0;486,75;82;belo-horizonte;nordeste;Ipiranga;Rua Matos da Silveira, 11
1582520;Apartamento 3 quartos;239000;60;-19,9596843;-43,9677822;3;1;0;1;180;26,59;belo-horizonte;oeste;Estoril;Rua M�rio Coutinho, 481
354832;Apartamento 2 quartos;250000;55;-19,8835138;-43,9950249;2;1;0;1;70;60;belo-horizonte;pampulha;Castelo;Rua Castelo de Alcoba�a, 68
2519064;Apartamento 3 quartos;270000;64;-19,892623;-43,944629;3;1;1;1;99;180;belo-horizonte;nordeste;Cachoeirinha;Rua Nossa Senhora da Paz, 140
2521270;Apartamento 3 quartos;270000;64;-19,892623;-43,944629;3;1;1;1;99;180;belo-horizonte;nordeste;Cachoeirinha;Rua Nossa Senhora da Paz, 140
956472;Apartamento 2 quartos;280000;55;-19,90926;-43,9384426;2;1;0;1;250;65;belo-horizonte;leste;Col�gio Batista;Rua Arax�, 246
1933848;Apartamento 2 quartos;290000;82;-19,895095;-43,931615;2;1;0;1;500;80,91;belo-horizonte;leste;Cidade Nova;Rua W�nia Carvalho Silveira, 51
3249441;Apartamento 3 quartos;295000;75;-19,9703555;-43,9718802;3;2;0;1;350;97,8;belo-horizonte;oeste;Buritis;Rua Maria Heilbuth Surette, 473
3237831;Apartamento 3 quartos;300000;77;-19,9730513;-43,9736903;3;2;1;2;340;182,81;belo-horizonte;oeste;Buritis;Rua Maria Heilbuth Surette, 565
3251562;�rea Privativa;329000;180;-19,7952601;-43,9864768;3;1;1;1;60;58,98;belo-horizonte;venda-nova;Mantiqueira;Rua Jordelina Maria do Carmo, 210
